wsj;wsj_AR1_Innovation
0,0040849;-0,0002708
0,0038513;-0,0007953
0,0033853;-0,0011243
0,0032299;-0,0010064
0,0046630;0,0005178
0,0037188;-0,0012667
0,0036075;-0,0008244
0,0038147;-0,0005520
0,0038181;-0,0006700
0,0036072;-0,0008829
0,0035691;-0,0007974
0,0042679;-0,0000762
0,0035470;-0,0012069
0,0037106;-0,0006205
0,0033870;-0,0010400
0,0033848;-0,0008525
0,0037176;-0,0005184
0,0039839;-0,0004473
0,0043111;-0,0002762
0,0037766;-0,0010026
0,0035972;-0,0008685
0,0039170;-0,0004436
0,0046855;0,0001374
0,0041306;-0,0008682
0,0039929;-0,0006805
0,0040179;-0,0005746
0,0037549;-0,0008524
0,0039152;-0,0005378
0,0040816;-0,0004655
0,0039056;-0,0007390
0,0052490;0,0007076
0,0034731;-0,0018561
0,0035285;-0,0007593
0,0043512;0,0000309
0,0039586;-0,0008441
0,0034540;-0,0011185
0,0034125;-0,0008641
0,0042624;0,0000102
0,0052189;0,0004682
0,0032434;-0,0020681
0,0045118;0,0003587
0,0034608;-0,0014361
0,0035867;-0,0006938
0,0045669;0,0002125
0,0038106;-0,0011187
0,0034578;-0,0010279
0,0035966;-0,0006822
0,0033319;-0,0010283
0,0029116;-0,0012933
0,0046156;0,0006570
0,0035531;-0,0014046
0,0033878;-0,0009469
0,0042934;0,0000557
0,0048022;0,0000334
0,0076044;0,0025372
0,0047666;-0,0019438
0,0053771;0,0003308
0,0045757;-0,0008286
0,0052769;0,0003425
0,0049149;-0,0004307
0,0049138;-0,0002195
0,0063779;0,0012453
0,0055653;-0,0004259
0,0060340;0,0005193
0,0061625;0,0003730
0,0044923;-0,0013726
0,0044631;-0,0004223
0,0051623;0,0002939
0,0056751;0,0003968
0,0050408;-0,0005383
0,0047605;-0,0004466
0,0046723;-0,0003704
0,0040302;-0,0009608
0,0055032;0,0008887
0,0058372;0,0003590
0,0051670;-0,0005072
0,0054837;0,0002026
0,0055737;0,0001069
0,0045310;-0,0009887
0,0048218;-0,0000864
0,0049640;-0,0001146
0,0040185;-0,0011436
0,0039094;-0,0006982
0,0045973;0,0000536
0,0058580;0,0009109
0,0048543;-0,0008320
0,0055403;0,0004425
0,0051747;-0,0003253
0,0049528;-0,0003328
0,0054424;0,0002869
0,0047871;-0,0006555
0,0083019;0,0032435
0,0051476;-0,0019719
0,0045296;-0,0007402
0,0065606;0,0016532
0,0048458;-0,0012526
0,0061118;0,0010191
0,0048997;-0,0009355
0,0076035;0,0024791
0,0086312;0,0019213
0,0113200;0,0040074
0,0055003;-0,0033890
0,0044786;-0,0009980
0,0053383;0,0004609
0,0064331;0,0010515
0,0045510;-0,0014725
0,0046423;-0,0002776
0,0048186;-0,0001548
0,0044972;-0,0005796
0,0050174;0,0001290
0,0055981;0,0004047
0,0052240;-0,0003100
0,0050601;-0,0002544
0,0058222;0,0006037
0,0049009;-0,0007644
0,0038389;-0,0012861
0,0051871;0,0006848
0,0043833;-0,0009096
0,0041455;-0,0006760
0,0035989;-0,0010832
0,0042508;-0,0001107
0,0038240;-0,0009199
0,0044142;-0,0000793
0,0035399;-0,0012998
0,0039411;-0,0003859
0,0042009;-0,0003613
0,0042708;-0,0004438
0,0040053;-0,0007502
0,0038103;-0,0007896
0,0036538;-0,0008317
0,0036723;-0,0007214
0,0034033;-0,0010013
0,0040881;-0,0001588
0,0036212;-0,0010272
0,0054412;0,0010665
0,0039322;-0,0015097
