;Date;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;bhp;blk;bp;cvx;ryaay;ko;mcd;nsrgy;sbux;shel;wmt;AVG
1;29/06/10;40,159027;107,270416;14,579959;42,697342;22,880346;17,490885;47,584656;34,919136;10,272495;26,98098;37,217571;-0,009562162;-0,006612243;0,018588121;-0,003188355;0,002089097;-0,001815842;-0,003872556;-0,001348263;-0,012507409;-0,008308258;-0,007434829;-0,003088427
2;30/06/10;39,284481;105,649567;15,217539;42,385029;22,990673;17,417906;47,162235;34,810898;9,980873;26,469727;36,585854;0,003002064;-0,009429412;0,007602319;-0,002438635;0,009043223;-0,000780655;0,00550312;-0,007262642;0,006386894;-0,006008546;0,002432539;0,000731843
3;01/07/10;39,556976;103,380424;15,486267;42,147697;23,474422;17,386625;47,763649;34,233601;10,12874;26,106035;36,791351;0,002013008;0,007578207;-0,000591511;-0,001095605;0,009166244;0,000173767;-0,003726622;-0,00183482;-0,005494235;0,004188591;-0,003065332;0,000664699
4;02/07/10;39,740753;105,200188;15,465189;42,041504;23,97514;17,393583;47,355549;34,089275;10,001409;26,359035;36,532585;0,007756113;0,007298727;0,036318756;0,001609877;0,009127392;0,003284808;-0,00019722;0,010086565;-0,013402967;0,004406253;0,005126802;0,006492282
5;06/07/10;40,456863;106,983116;16,814114;42,197636;24,484348;17,525639;47,334049;34,89027;9,697465;26,627829;36,966404;0,014451076;0,009671403;0,017080387;0,011982764;0,003747147;0,008865151;0,007812514;0,008009843;0,014293924;0,0102793;0,003118399;0,009937446
6;07/07/10;41,825706;109,392273;17,488573;43,378136;24,696516;17,887062;48,193245;35,539734;10,021948;27,2656;37,232792;0,004907261;0,010889299;0,007137933;0,005962189;0,002381361;0,007942876;0,010895506;0,002111115;0,007761652;0,013147685;0,002301927;0,006858073
7;08/07/10;42,300991;112,1698;17,778385;43,977757;24,832306;18,217211;49,417603;35,712914;10,202669;28,103651;37,430664;0,007034572;0,007690385;0,00397201;0,008731879;0,002072994;-0,00016579;0,001256623;-0,001670454;0,007968917;0,001544821;0,002202123;0,003694371
8;09/07/10;42,991749;114,173767;17,94173;44,870918;24,95112;18,210258;49,560799;35,575813;10,391607;28,203796;37,620941;-0,010103242;-0,002304135;0,033258174;6,04396E-05;0,00265084;0,000414201;0,004493916;0,000528133;-0,000515067;0;0,006020523;0,003136707
9;12/07/10;42,003151;113,569626;19,369682;44,877163;25,103882;18,227634;50,076298;35,619102;10,37929;28,203796;38,146103;0,006116003;0,007679322;0,001415617;0,008262448;0,004527745;0,002229969;0,005552886;0,005681785;0,011364612;0,011137385;0,003624174;0,006144722
10;13/07/10;42,59885;115,595657;19,432922;45,739124;25,366972;18,321468;50,720684;36,088161;10,65448;28,93643;38,465763;-0,00032322;-0,004591262;-0,008322438;-0,001068955;0,002173985;0,000822891;0,000367731;0,003890374;0,001003371;0,003545298;-0,00163575;-0,00037618
11;14/07/10;42,567158;114,380043;19,064072;45,626682;25,494272;18,356216;50,763649;36,412888;10,679124;29,173615;38,321156;0,002128429;-0,00353911;0,031704272;-5,93705E-05;0,002594533;0,000246649;0,002626062;0,008100417;0,002166037;0,003827801;0,000517169;0,004573899
12;15/07/10;42,776287;113,451736;20,507841;45,620445;25,647034;18,366644;51,071533;37,098431;10,732519;29,431883;38,366817;-0,012863585;-0,013898416;-0,02079895;-0,009254821;-0,001007136;-0,003962357;-0,008546679;-0,008875752;-0,013161542;-0,008878799;-0,006422474;-0,009788228
13;16/07/10;41,527855;109,878502;19,54884;44,658558;25,587627;18,199835;50,076298;36,347939;10,412143;28,836281;37,803612;0,003301156;-0,002951069;-0,016097819;0,003026497;0;-0,000830064;-0,000186233;0;0,002391998;0,001584819;-0,001313463;-0,001006743
14;19/07/10;41,844719;109,134399;18,837496;44,97086;25,587627;18,165083;50,054829;36,347939;10,469649;28,941702;37,689453;0,019988088;0,003591332;-0,006733368;0,006584863;-0,001731979;0,007985609;0,005923174;0,001978574;0,004744626;-0,000791589;0,011766489;0,004845984
15;20/07/10;43,815598;110,040611;18,547689;45,657913;25,485786;18,502184;50,742184;36,513912;10,584656;28,888998;38,724545;-0,005308619;-0,017897177;0,011325175;-0,005560647;0,001011224;0,006798492;-0,004682629;-0,002151034;-0,01023123;-0,00751286;-0,004547722;-0,003523366
16;21/07/10;43,283276;105,59803;19,037722;45,077042;25,545197;18,794098;50,198013;36,333508;10,338214;28,393545;38,321156;0,016225439;0,023243183;0,001200412;0,007575773;0,007012897;0,001443214;0,007918438;0,007694466;-0,000345238;0,01583154;0,004376941;0,008379733
17;22/07/10;44,930946;111,403542;19,090416;45,870258;25,961044;18,856657;51,121662;36,982971;10,329999;29,447685;38,70932;0,004691154;0,009320105;0,007487055;0,000472881;-0,005572496;0,00390427;-0,009221084;-0,003403036;0,003953621;0,004562373;0,006862168;0,002096092
18;23/07/10;45,418911;113,820137;19,42238;45,920231;25,630062;19,026941;50,047672;36,694313;10,424468;29,758671;39,325813;0,001451947;0,014268448;0,020594166;0,006449769;0,002008636;0,001504519;0,005985275;0,001279351;0,00017111;0,001382392;-0,004562795;0,004593892
19;26/07/10;45,571011;117,621727;20,365572;46,607288;25,748877;19,09297;50,742184;36,802567;10,428576;29,853546;38,91481;-0,000422978;-0,005667867;-0,007366012;0,003939808;-0,006344369;0,00086879;-0,002889824;-0,012526633;-0,003606913;0,001301446;-0,001446337;-0,003105535
20;27/07/10;45,526649;116,096649;20,023067;47,032021;25,37546;19,131203;50,405663;35,75621;10,342323;29,943142;38,785427;0,001448412;-0,001601333;-0,003327094;0,001496938;0,001305244;-0,001343241;-0,003903837;0,000262917;-0,003289649;-0,006935346;0,001446337;-0,001312787
21;28/07/10;45,678738;115,669365;19,870258;47,194412;25,451839;19,072123;49,954601;35,777863;10,264279;29,468771;38,91481;0,001923767;0,003416678;0,008665669;0,002635863;-0,000724638;0,000869466;-0,00243462;-0,000525836;-0,00296435;0,000543442;-0,000594841;0,000982782
22;29/07/10;45,881527;116,582947;20,27072;47,48172;25,409407;19,110344;49,675343;35,73457;10,194457;29,505669;38,861546;-0,001020972;-0,002063341;0;0,001084114;0,000145035;0,000946717;0,002185419;-0,001493549;0,000524485;-0,004366431;0,001104136;-0,000268581
