Date;date;wsj;wsj_AR1_Innovation;chneg;chneg_AR1_innovation;PNGASEUUSDM;IR14270;POILBREUSDM;BEP;CSIQ;FSLR;IBDRY;SPWR;VWDRY;WORLD ESG LEADERS Standard (Large+Mid Cap) ;BLK;KO;MCD;NSRGY;SBUX;WMT;PNGASEUUSDM;IR14270;POILBREUSDM;BEP;CSIQ;FSLR;IBDRY;SPWR;VWDRY;WORLD ESG LEADERS Standard (Large+Mid Cap) ;BLK;KO;MCD;NSRGY;SBUX;WMT;mean_green;mean_brown;Differecnes_index;differences_means
200807;1;0,0076737;0,001328748;0,007067287;0,001681549;14,36;319,9;133,8991304;9,917399;28,77;285,029999;54,400002;51,584808;8,75;83,188;216,710007;25,75;59,790001;43,799999;7,345;58,619999;0;2,003056695;-7,044290505;1,626075065;5,187312183;-1,295990616;-5,444814763;9,286640761;2,083462818;-0,566992023;0,108081896;0,478034863;1,576312881;0,404640449;2,498779686;0,332116416;1,907114241;0,899661032;-1,466653055;1,007453209
200808;2;0,0038658;-0,00288533;0,003980706;-0,001712791;14,36;335;113,8504762;10,295763;32,419998;276,649994;47,990002;63,88343;9,18;82,109;217,25;26,035;62;44,209999;7,78;59,07;0;-4,821317852;-6,041660032;-5,453753492;-22,01107182;-16,56757079;-7,692470414;-13,83972906;-19,56868151;-5,299377095;-4,804017946;0,670388523;-0,210651843;-1,25573268;-1,969862413;0,598733497;-14,18887951;-1,161857144;-4,137519951;-13,02702237
200809;3;0,0043311;-0,000186936;0,00555842;0,002118755;14,36;299,8;99,06454545;9,080735;19,530001;188,910004;40,200001;46,450558;5,85;72,677;194,5;26,440001;61,700001;42,950001;7,435;59,889999;4,750807184;-0,217837515;-13,35327604;-6,950294047;-30,48269082;-11,87981981;-14,80119085;-25,90977128;-29,73338501;-9,169480516;-17,05226069;-7,924695037;-2,738164257;-4,806682285;-5,404624243;-3,064227553;-19,9595253;-6,831775678;-2,337704838;-13,12774962
200810;4;0,00444;-0,00035099;0,004506981;-8,47E-05;16,02;298,3;72,8426087;7,73781;9,68;143,699997;28,59;25,579569;2,95;58,844;131,339996;22,030001;57,93;38,450001;6,565;55,810001;0;-1,707410637;-13,61352081;-3,227676613;-24,08005657;-6,110301299;1,800209414;-5,102748343;0,584917235;-3,142119569;-1,902717579;2,685042246;0,610434244;-2,558834453;-16,74132672;0,054437492;-6,022609363;-2,975494128;-0,166625441;-3,047115235
200811;5;0,0062315;0,001376767;0,003731488;-9,25E-05;16,02;286,8;53,2415;7,183586;5,56;124,839996;29,799999;22,743942;2,99;54,737;125,709999;23,434999;58,75;36,25;4,465;55,880001;0;-2,062181633;-11,0794288;-1,37466573;6,515772641;4,339946165;8,208625126;2,749692356;11,20397767;1,256668427;2,822083465;-1,508444049;2,471267889;3,94825068;2,503967751;0,139669596;5,273891371;1,729465889;-0,472797462;3,544425482
200812;6;0,0063294;0,000424016;0,00442632;0,001168636;16,02;273,5;41,25304348;6,959766;6,46;137,960007;36;24,230516;3,87;56,344;134,149994;22,635;62,189999;39,700001;4,73;56,060001;0;3,035473231;3,503697171;-0,839406239;-7,303987529;1,497500883;-6,789279776;-4,237974999;-7,051506707;-4,157771441;-9,096175025;-2,517923014;-3,014282536;-6,160127885;-0,09191421;-7,544782861;-4,120775728;-4,737534255;0,579762814;0,616758527
200901;7;0,0053384;-0,000624353;0,003183737;-0,000581316;16,02;293,3;44,71909091;6,826539;5,46;142,800003;30,790001;21,977734;3,29;51,2;108,800003;21,360001;58,02;34,450001;4,72;47,119999;-4,419398063;2,320824638;-1,458217215;-2,728353763;-18,20981941;-13,04889187;-7,010839511;-8,037346061;-5,121852966;-4,869853728;-5,070869619;-1,943922475;-4,549142968;-2,517229607;-1,355090023;1,911278934;-9,02618393;-2,254162626;-2,615691102;-6,772021304
200902;8;0,0058888;0,000507162;0,003459547;0,000601833;14,47;309,4;43,2425;6,410871;3,59;105,739998;26,200001;18,26457;2,924;45,769;96,809998;20,424999;52,25;32,509998;4,575;49,240002;-10,09051132;3,801075127;3,469766326;1,699172459;22,16067354;9,863161519;2,963154221;-6,923663868;-0,268175832;3,12082699;12,81567263;3,17668398;1,8867659;1,367556878;8,429296487;2,451964473;4,91572034;5,021323391;-1,900496401;-0,105603051
200903;9;0,0063561;0,000651737;0,003503069;0,000443956;11,47;337,7;46,83909091;6,666667;5,98;132,699997;28,049999;15,573019;2,906;49,179;130,039993;21,975;54,57;33,549999;5,555;52,099998;-12,50649667;-0,962248694;3,68184786;2,46306671;3,9540116;14,96436604;4,87200753;6,122157288;17,21881369;4,71593376;5,18199844;-0,898572362;-1,030822539;-1,447779704;11,4454234;-1,440715295;8,265737143;1,968255323;2,747678437;6,29748182
200904;10;0,0078038;0,001825357;0,003410857;0,000319965;8,6;330,3;50,98318182;7,055689;6,55;187,289993;31,379999;17,930582;4,32;54,82;146,520004;21,525;53,290001;32,450001;7,23;50,400002;0;-1,620839838;5,556226276;3,828027576;30,53185442;0,690137672;3,737319334;2,541361379;5,20452144;3,702075045;3,686376554;5,763871842;4,41326825;5,07210607;-0,210749902;-0,572475528;7,75553697;3,025399548;0,676675497;4,730137422
