;Date;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;MCCC;aapl;amzn;goog;googl;hd;jpm;msft;nvda;pg;tsla;unh;v;AVG;FAMA&FRENCH
1;29/06/10;7,833989;108,610001;226,281845;227,357361;21,806339;27,094093;18,132357;2,406349;42,073853;4,778;23,946981;16,435249;0,61;-0,007938262;0,002591386;-0,008993289;-0,008993302;-0,008578918;-0,005305714;-0,00562559;-0,011335423;-0,002454864;-0,001092107;-0,00350303;-0,004275812;-0,005458744;0,98
2;30/06/10;7,692096;109,260002;221,644226;222,697693;21,37981;26,765102;17,898996;2,344354;41,8367;4,766;23,754601;16,274231;0,36;-0,005298539;0,00670524;-0,005362208;-0,005362202;-0,002327058;-0,005739629;0,00282194;0,007171557;-0,003197696;-0,035491707;-0,00849321;0,012762732;-0,003484232;0,40
3;01/07/10;7,59882;110,959999;218,924423;219,964966;21,265558;26,413702;18,015678;2,383388;41,529789;4,392;23,294561;16,759583;0;-0,002700048;-0,007182499;-0,00291503;-0,002914994;-0,002495918;-0,003019741;0,002058076;-0,005473534;-0,001168451;-0,058331107;0,00696136;0,001903294;-0,006273216;0,50
4;02/07/10;7,551724;109,139999;217,4599;218,4935;21,143694;26,230679;18,101255;2,353538;41,418205;3,84;23,670961;16,833193;0,62;0,002962301;0,003645555;-0,000477755;-0,000477802;-0,00662086;0,006018581;0,01014524;-0,004685821;-0,000292615;-0,076205688;0,008960953;-0,00543429;-0,005205183;0,33
5;06/07/10;7,60341;110,059998;217,22081;218,25325;20,823801;26,596722;18,529083;2,328281;41,390308;3,222;24,164446;16,623873;0,46;0,017192561;0,013098431;0,013849256;0,013849271;0,010514423;0,021229216;0,008664493;0,020495199;0,010698777;-0,008438453;0,004635467;0,01505966;0,011737359;3,17
6;07/07/10;7,910446;113,43;224,259415;225,325317;21,334105;27,929125;18,902464;2,440791;42,422615;3,16;24,423748;17,210436;0,32;-0,000974989;0,010552943;0,00609239;0,006092395;0,002165362;0,000113779;0,001961352;-0,01327436;0,007994871;0,043387152;0,007081023;0,001506701;0,006058218;1,00
7;08/07/10;7,892707;116,220001;227,427551;228,508514;21,440741;27,936443;18,988024;2,367316;43,2108;3,492;24,825233;17,270248;1,36;0,002567063;0,003869022;0,010274443;0,010274444;0,001693624;0,007782579;-0,002498025;0,001681585;-0,001404357;-0,001494991;0,004222905;0,013104373;0,004172722;0,81
8;09/07/10;7,939498;117,260002;232,872131;233,978973;21,524517;28,441578;18,87912;2,3765;43,071297;3,48;25,067801;17,799301;0,22;-0,0039155;0,008254356;0,007679507;0,007679503;0,000767893;0,003784292;0,009907007;0,007900159;0,002384681;-0,008824865;0,00101308;-0,004910514;0,0026433;0,11
9;12/07/10;7,868239;119,510002;237,026566;238,153152;21,562609;28,690491;19,314735;2,420126;43,308449;3,41;25,126345;17,59918;1,23;-0,009367021;0,014789874;0,012034624;0,012034638;0,005033065;0,01406531;0,005215865;0,015382007;0,002093423;0,026912899;0,001443251;0,000454016;0,008340996;1,76
10;13/07/10;7,700351;123,650002;243,6866;244,844849;21,813953;29,634888;19,548103;2,507379;43,517712;3,628;25,209984;17,617588;0;0,001600985;-0,001231041;0,001895681;0,001895654;-0,005493493;-0,001397019;0,005324629;0,004352963;0,001875365;0,038904385;0,002585995;-0,001761592;0,004046043;0,04
